recu,epochs,accuracy per epoch,loss per epoch
10.0,2.0,"[[50.0], [50.0]]","[[13.86293888092041], [13.86293888092041]]"
10.0,3.0,"[[50.0], [50.0], [50.0]]","[[13.86293888092041], [13.86293888092041], [13.86293888092041]]"
10.0,5.0,"[[50.0], [50.0], [50.0], [50.0], [50.0]]","[[13.86293888092041], [13.86293888092041], [13.86293888092041], [13.86293888092041], [13.86293888092041]]"
